Unnamed: 0,time,title,Tuples,s,p,o,sp,po,spo,open price change,close price change
11041,20130909  7:00AM UTC,"IMPAQT, a Merkle Company, Launches Successful Remarketing Campaigns through Googleâs RLSA","('IMPAQT', 'Launches Remarketing Campaigns through', 'Googleâ € s RLSA')",IMPAQT,Launches Remarketing Campaigns through,Googleâ € s RLSA,IMPAQT Launches Remarketing Campaigns through,Launches Remarketing Campaigns through Googleâ € s RLSA,IMPAQT Launches Remarketing Campaigns through Googleâ € s RLSA,0.6425780000000145,4.219208000000037
11042,20130909  6:19AM UTC,Google offers new concessions to avoid fine in EU antitrust case,"('concessions', 'avoid in', 'EU antitrust case')",concessions,avoid in,EU antitrust case,concessions avoid in,avoid in EU antitrust case,concessions avoid in EU antitrust case,0.6425780000000145,4.219208000000037
11043,20130909  6:17AM UTC,Google offers new concessions to avoid fine in EU antitrust case,"('concessions', 'avoid in', 'EU antitrust case')",concessions,avoid in,EU antitrust case,concessions avoid in,avoid in EU antitrust case,concessions avoid in EU antitrust case,0.6425780000000145,4.219208000000037
11044,20130909  2:26AM UTC,"U.S. tapped into networks of Google, Petrobras, others: report","('U.S.', 'tapped into', 'networks')",U.S.,tapped into,networks,U.S. tapped into,tapped into networks,U.S. tapped into networks,0.6425780000000145,4.219208000000037
11045,20130909  12:07AM UTC,"UPDATE 1-U.S. tapped into networks of Google, Petrobras, others - report","('UPDATE 1 U.S.', 'tapped into', 'networks of Google')",UPDATE 1 U.S.,tapped into,networks of Google,UPDATE 1 U.S. tapped into,tapped into networks of Google,UPDATE 1 U.S. tapped into networks of Google,0.6425780000000145,4.219208000000037
11046,20130910  8:59PM UTC,"Trust me, Iâm with Google","('Iâ € m', 'is with', 'Google')",Iâ € m,is with,Google,Iâ € m is with,is with Google,Iâ € m is with Google,3.1332700000000386,0.3088379999999802
11047,20130910  5:46PM UTC,U.S. Appeals Court Rules Google Not Exempt From Wiretap Law In Wi-Spy Suit,"('Wiretap Law', 'is In', 'Wi Spy Suit')",Wiretap Law,is In,Wi Spy Suit,Wiretap Law is In,is In Wi Spy Suit,Wiretap Law is In Wi Spy Suit,3.1332700000000386,0.3088379999999802
11048,20130910  5:32PM UTC,"Right of Personal Privacy Upheld In Google Street View Case, Class Counsel Announces","('Class Counsel', 'Announces In', 'Google Street View Case')",Class Counsel,Announces In,Google Street View Case,Class Counsel Announces In,Announces In Google Street View Case,Class Counsel Announces In Google Street View Case,3.1332700000000386,0.3088379999999802
11049,20130910  4:48PM UTC,Google loses appeal in Street View privacy case,"('Google', 'loses', 'appeal')",Google,loses,appeal,Google loses,loses appeal,Google loses appeal,3.1332700000000386,0.3088379999999802
11050,20130910  4:47PM UTC,UPDATE 1-Google loses appeal in Street View privacy case,"('UPDATE 1 Google', 'loses appeal in', 'Street View privacy case')",UPDATE 1 Google,loses appeal in,Street View privacy case,UPDATE 1 Google loses appeal in,loses appeal in Street View privacy case,UPDATE 1 Google loses appeal in Street View privacy case,3.1332700000000386,0.3088379999999802
